"WMO_ID","DATA_TIMESTAMP","RECEIVED_TIMESTAMP","CLOUD_LOW_TYPE_CL","CLOUD_BASE_M_H","CLOUD_PEAK_M","CLOUD_ELEVATION_ANGLE_EC","CLOUD_LOW_MED_AMT_OKTAS","CLOUD_MED_TYPE_CM","CLOUD_HIGH_TYPE_CH","CLOUD_MED_DIR_DM","CLOUD_MED_HEIGHT_M","CLOUD_HIGH_DIR_DH","CLOUD_HIGH_HEIGHT_M","CLOUD_COVER_OKTAS_M","CLOUD_LAYER_1_TYPE_C","CLOUD_LAYER_2_TYPE_C","CLOUD_LAYER_1_HEIGHT_M_HSHS","CLOUD_LAYER_2_HEIGHT_M_HSHS","CLOUD_LAYER_1_AMT_OKTAS_NS","CLOUD_LAYER_2_AMT_OKTAS_NS","EVAPORATION_24HOURS_MM_EEE","EVAPORATION_EQ_INDICATOR_IE","LAND_COND","LAND_NOTE","PAST_WEATHER_W1","PAST_WEATHER_W2","PRESENT_WEATHER_WW","PRESSURE_TEND_3H_MB_PPP","PRESSURE_READING_MB","PRESSURE_TEMP_C","RAINFALL_24H_RRRR","RAINFALL_6H_RRR","RAINFALL_INDICATOR_IR","RAINFALL_LAST_MM","SOLAR_RAD_24H_JCM2_F24","SUNSHINE_H_SSS","TEMP_DEWPOINT_C_TDTDTD","TEMP_DRYBULB_C_TTTTTT","TEMP_MAX_C_TXTXTX","TEMP_MIN_C_TNTNTN","TEMP_WETBULB_C","VISIBILITY_VV","WEATHER_INDICATOR_IX","WIND_DIR_DEG_DD","WIND_INDICATOR_IW","WIND_SPEED_FF","CLOUD_DIRECTION_ANGLE_DA","CLOUD_MED_COVER_OKTAS","CLOUD_HIGH_COVER_OKTAS","RELATIVE_HUMIDITY_PC","PRESSURE_QFF_MB_DERIVED","PRESSURE_QFE_MB_DERIVED","PRESSURE_TEND_24H_MB_PPP","ENTRY_USER","CLOUD_LAYER_3_TYPE_C","CLOUD_LAYER_3_HEIGHT_M_HSHS","CLOUD_LAYER_3_AMT_OKTAS_NS","CLOUD_LAYER_4_TYPE_C","CLOUD_LAYER_4_HEIGHT_M_HSHS","CLOUD_LAYER_4_AMT_OKTAS_NS","CLOUD_BASE_2_M_H","CLOUD_BASE_3_M_H","CLOUD_PEAK_2_M","CLOUD_DIRECTION_2_ANGLE_DA","CLOUD_ELEVATION_2_ANGLE_EC","ENCODED_SYNOP","OBSERVER_ID"
"96581","1/1/2021 00:00:00 +00","1/1/2021 11:50:51.243015 +00","1","210",,,"4","7","/","0","3600","9",,"8","8","4","210","3600","4","8","3.7","0","1",,"2","2","2","-0.3",,,"2.6","0","1","0",,"5.5","22.7","23.5",,"23","22.9","10","2","070","4","3","6","8","/","95","1010.3","1009.6","1","opr96581",,,,,,,,,,,,"SMID52 WIOO 010000
AAXX 01004 
96581 12360 80703 10235 20227 30096 40103 55003 60034 8417/
  333 20230 50370 55055 56609 58010 84807 88462=",
"96581","1/1/2021 01:00:00 +00","1/1/2021 11:52:32.569235 +00","1","300",,,"4","3","1","0","3600","0","12000","7","8","3","300","3600","4","6",,,"1",,"2","2","1",,,,,,"4",,,,"23.2","24.7",,,"23.6","10","2","070","4","3","6","3","2","91","1010.2","1009.5",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 010100
AAXX 01014 
96581 42460 70703 10247 20232 30095 40102 84131
  333 56600 84810 86362=",
"96581","1/1/2021 02:00:00 +00","1/1/2021 11:53:09.173957 +00","1","360",,,"4","3","1","0","3600","0","12000","7","8","3","360","3600","4","4",,,"1",,"2","9","13",,,,,,"4",,,,"24.1","27.1",,,"24.9","1","2","090","4","3","0","3","2","84","1010.2","1009.5",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 010200
AAXX 01024 
96581 42410 70903 10271 20241 30095 40102 84131
  333 56000 84812 84362=",
"96581","1/1/2021 03:00:00 +00","1/1/2021 11:54:23.626405 +00","1","360",,,"6","7","/","0","3600","9",,"8","8","4","360","3600","6","8",,,"1",,"2","2","3","-0.4",,,,,"3","0",,,"24.5","27.5",,,"25.3","10","2","030","4","6","0","8","/","84","1009.9","1009.2",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 010300
AAXX 01034 
96581 32460 80306 10275 20245 30092 40099 53004 8617/
  333 56009 86812 88462=",
"96581","1/1/2021 04:00:00 +00","1/1/2021 11:56:09.767744 +00","1","360",,,"5","3","1","0","3600","0","12000","7","8","3","360","3600","5","3",,,"1",,"2","2","3",,,,,,"4",,,,"24.6","28.8",,,"25.7","10","2","000","4","0","0","3","2","78","1009.5","1008.8",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 010400
AAXX 01044 
96581 42460 70000 10288 20246 30088 40095 85131
  333 56000 85812 83362=",
"96581","1/1/2021 05:00:00 +00","1/1/2021 12:27:17.791092 +00","1","360",,,"5","3","1","0","3600","0","12000","7","8","3","360","3600","5","3",,,"1",,"2","2","2",,,,,,"4",,,,"25.5","31",,,"26.9","10","2","170","4","4","0","3","3","73","1008.5","1007.8",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 010500
AAXX 01054 
96581 42460 71704 10310 20255 30078 40085 85131
  333 56000 85812 83362=",
"96581","1/1/2021 06:00:00 +00","1/1/2021 13:08:51.033983 +00","1","360","4500","2","5","3","1","0","3600","0","12000","7","8","3","360","3600","5","3",,,"1",,"2","2","2","-2.2",,,,"0","3","0",,,"24.6","31.9",,,"26.5","10","1","230","4","6","0","3","2","66","1007.7","1007",,"opr96581",,,"0",,,,,,,,,"SMID52 WIOO 010600
AAXX 01064 
96581 31460 72306 10319 20246 30070 40077 58022 70222 85131
  333 56000 85812 83362=",
"96581","1/1/2021 07:00:00 +00","1/1/2021 15:14:59.117198 +00","2","330","4500","2","6","3","1","0","3600","0","12000","7","8","3","330","3600","6","3",,,"1",,"2","2","2",,,,,,"4",,,,"25.1","31.4",,,"26.7","10","2","210","4","8","0","3","2","69","1006.4","1005.7",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 010700
AAXX 01074 
96581 42460 72108 10314 20251 30057 40064 86231
  333 56000 57802 86811 83362 80865=",
"96581","1/1/2021 08:00:00 +00","1/1/2021 15:16:39.085704 +00","9","330","9000","2","5","3","1","0","3600","0","12000","7","9","8","330","360","1","5",,,"1",,"2","2","21",,,,,,"4",,,,"25.2","30",,,"26.4","8","1","180","4","12","0","5","2","75","1006.3","1005.6",,"opr96581","3","3600","5",,,"0","360",,"9000",,,"SIID62 WIOO 010800
AAXX 01084 
96581 41458 71812 10300 20252 30056 40063 72122 85931
  333 56000 57902 81911 85812 85362 80980=",
"96581","1/1/2021 09:00:00 +00","1/1/2021 17:07:15.95629 +00","9","330","9000","2","4","3","1","0","3600","0","12000","7","9","8","330","360","1","3",,,"1",,"6","2","2","-1.6",,,,,"2","8888",,,"24.7","30.1",,,"26.1","10","1","170","4","12","0","6","2","73","1006.1","1005.4",,"opr96581","3","3600","6",,,,"360",,"9000",,,"SIID62 WIOO 010900
AAXX 01094 
96581 21460 71712 10301 20247 30054 40061 58016 70262 84931
  333 56000 57902 69908 81911 83812 86362 80980=",
